zona_eleitoral,codigo_zona_eleitoral,estado,municipio,codigo_municipio
0175,175,BA,PALMAS DE MONTE ALTO,37699
0089,89,BA,PALMEIRAS,37710
0111,111,BA,PARAMIRIM,37737
0173,173,BA,PARATINGA,37753
0052,52,BA,PARIPIRANGA,37770
0133,133,BA,PAU BRASIL,37796
0084,84,BA,PAULO AFONSO,37818
0181,181,BA,PAULO AFONSO,37818
0051,51,BA,PEDRO ALEXANDRE,37850
0130,130,BA,PEDRÃO,37834
0105,105,BA,PIATÃ,37877
0195,195,BA,PILÃO ARCADO,37893
0117,117,BA,PINDAÍ,37915
0115,115,BA,PINDOBAÇU,37931
0062,62,BA,PINTADAS,39837
0151,151,BA,PIRAÍ DO NORTE,37940
0177,177,BA,PIRIPÁ,37958
0054,54,BA,PIRITIBA,37974
0037,37,BA,PLANALTINO,37990
0139,139,BA,PLANALTO,38016
0200,200,BA,POJUCA,38059
0149,149,BA,PONTO NOVO,38067
0121,121,BA,PORTO SEGURO,38075
0122,122,BA,PORTO SEGURO,38075
0138,138,BA,POTIRAGUÁ,38091
0059,59,BA,POÇÕES,38032
0112,112,BA,PRADO,38113
0095,95,BA,PRESIDENTE DUTRA,38130
0060,60,BA,PRESIDENTE JÂNIO QUADROS,38156
0197,197,BA,PRESIDENTE TANCREDO NEVES,38164
0114,114,BA,PÉ DE SERRA,39810
0106,106,BA,QUEIMADAS,38172
0102,102,BA,QUIJINGUE,38199
0191,191,BA,QUIXABEIRA,39845
0043,43,BA,RAFAEL JAMBEIRO,39853
0067,67,BA,REMANSO,38210
0196,196,BA,RETIROLÂNDIA,38237
0113,113,BA,RIACHO DE SANTANA,38296
0182,182,BA,RIACHÃO DAS NEVES,38253
0114,114,BA,RIACHÃO DO JACUÍPE,38270
0079,79,BA,RIBEIRA DO AMPARO,38318
0110,110,BA,RIBEIRA DO POMBAL,38334
0152,152,BA,RIBEIRÃO DO LARGO,38342
0101,101,BA,RIO DE CONTAS,38350
0093,93,BA,RIO DO ANTÔNIO,38377
0111,111,BA,RIO DO PIRES,38393
0049,49,BA,RIO REAL,38415
0158,158,BA,RODELAS,38431
0087,87,BA,RUY BARBOSA,38458
0030,30,BA,SALINAS DA MARGARIDA,38474
0009,9,BA,SALVADOR,38490
0018,18,BA,SALVADOR,38490
0002,2,BA,SALVADOR,38490
